ZIP Code,Type,State FIPS,Preferred name,Alternate names,Population (2019),Housing units (2019),Median family income (2019),MFI percentile (2019),Latitude,Longitude,Land area,Water area
00674,standard,72,"Manati, PR","Alts De Manati, Bda San Jose, Brisas De Mar Chiquita, Colina Del Mar, Est De Manati, Est De Valle Verde, Est Marylin, Ext Oneill, Ext San Salvador, Hacienda Hermanas Mena, Hacienda La Monserrate, Jard De Monaco 1, Jard De Monaco 2, Jard De Monaco 3, Lomas Del Manatuabon, Parc La Luisa, Parc Marquez, Repto Garcia, Repto Geovani, Repto Marista, Repto Rosello, Urb Atenas, Urb Camino Del Sol Ii, Urb Flamboyan, Urb Las Gardenias, Urb Los Rosales, Urb Luchetti, Urb Manati Chalets, Urb Monte Verde, Urb Oneill, Urb Portofino, Urb San Salvador, Urb Santa Teresa, Valle De Tierras Nuevas, Valle Encantado, Valles De Manati, Villa Beatriz, Villa Evangelina, Villa Forestal, Villa Maria, Villa Nitza, Villas Del Manati, Villas Tesoro","38,971","18,628","$23,424",0,18.423,-66.488998,44.943,2.665
00676,standard,72,"Moca, PR","Hacienda La Monserrate, Parc Lomas Verdes, Parc Sabana, Res Edad Dorada, Urb Las Palmas, Urb Los Robles, Urb Moca Gdns, Villa Deloamit, Villa Mercedes, Villa Soto","36,299","16,246","$18,630",0,18.378,-67.080002,50.437,0.022
00677,standard,72,"Rincon, PR","Comunidad Estella, Comunidad Stella, Ext Jard De Rincon, Jard De Rincon, Urb Cerro Los Pobres, Urb Las Lomas, Urb Palma Real, Urb Sea Beach Colony, Villas De La Pradera, Vista Azul","14,093","9,415","$29,440",1,18.333,-67.226997,14.339,1.388
00678,standard,72,"Quebradillas, PR","Bo Cacao, Brisas Tropical, Parc Chivas, Parc Terranova, Parq Del Retiro, Repto Kennedy, Urb Avila, Urb Dos Ceibas, Urb El Retiro, Urb La Romana, Urb Santa Marina, Villa Norma","25,624","11,487","$20,992",0,18.434,-66.927002,26.361,1.466
00680,standard,72,"Mayaguez, PR","Bo Balboa, Bo Barcelona, Bo Broadway, Bo Buena Vista, Bo Cantera, Bo Carcel, Bo Colombia, Bo La Quinta, Bo Liceo, Bo Mineral, Bo Paris, Bo Rio Hondo, Bo Sabalos, Bo Salud, Bo Santurce, Ext Belmonte, Lomas Verdes, Repto Antillano, Repto Brisas De Rio Hondo, Repto Flamboyan, Repto Macias, Repto San Miguel, Urb Alemany, Urb Belmonte, Urb Ensanche Ramirez, Urb Ensanche Vivaldi, Urb Flor Del Valle, Urb La Estancia, Urb Monterey, Urb Paraiso De Mayaguez, Urb Ponce De Leon, Urb Pura Brisa, Urb Rio Cristal, Urb Santa Maria, Urb Sultana, Villa Angelica, Villa Gerena, Villa India, Villa Sultanita, Villas De Felisa, Villas Del Rio, Villas Del Sol","45,190","26,063","$20,674",0,18.181999,-67.133003,64.207,7.656
00681,PO box,72,"Mayaguez, PR",,,,,,,,,
00682,standard,72,"Mayaguez, PR","Alt De Algarrobo, Alt De Mayaguez, Bo Dulces Labios, Bo El Seco, Bo Mani, Bo Tras Talleres, Jard De Guanajibo, Jard Del Caribe, Mans De Espana, Parc Castillo, Parc Mani, Parc Soledad, Parq De La Ceiba, Repto Los Chevres, Repto San Francisco, Urb Bella Lomas, Urb Buenaventura, Urb Ensanche Ramirez, Urb Fraternidad, Urb Guanajibo Gdns, Urb Guanajibo Homes, Urb Hostos, Urb La Riviera, Urb Llavat, Urb Los Versalles, Urb Mayaguez Terrace, Urb Mendoza, Urb Miradero Gdns, Urb Miradero Hls, Urb Petiteville, Urb Quinto Centenario, Urb Ramirez De Arellano, Urb San Jose, Urb Santa Rosa De Lima, Urb Westernlake Vlg, Villas Del Oeste, Vista Verde","31,735","15,463","$20,240",0,18.221001,-67.155998,14.397,2.444
00683,standard,72,"San German, PR","Ext Mans San German, Ext Parc Sabana Eneas, Ext Santa Maria, Ext Villa Interamericana, Hacienda La Monserrate, Mans De San German, Mans Reales, Parc Sabana Eneas, Paseos Del Valle, Repto Universidad, Urb Borinquen, Urb El Convento, Urb El Pedregal, Urb El Real, Urb La Nueva Salamanca, Urb La Quinta Dr Velez, Urb Las Quintas, Urb Los Sauces, Urb Montebello, Urb Porta Coeli, Urb Retiro, Urb Riverside, Urb Santa Maria, Valle Verde, Villa Auxerre, Villa Interamericana","29,487","14,979","$21,870",0,18.108,-67.037003,52.196,0.011
00685,standard,72,"San Sebastian, PR","Bda Chinto Rodon, Bda Estalingrado, Bda Paralelo 38, Bda Pueblo Nuevo, Bda Tablastilla, Colinas Verdes, Comunidad Gonzalez, Ext Villa Rita, Jard Guatemala, Repto Pin Mendez, Urb Chinto Rodon, Urb El Culebrina, Urb El Guayabal, Urb La Estancia, Urb Los Alamos, Urb Olivencia, Urb Pedro T Labayen, Urb Pepino, Urb Venturini, Valle Verde, Villa Rita, Villas De Piedra Blanca","37,058","18,034","$18,690",0,18.333,-66.959999,77.532,0.795
00687,standard,72,"Morovis, PR","Brisas Del Norte, Brisas Del Rio, Comunidad Juan Otero, Ext Torrecillas, Jard De Montellano, Jard De Romany, Jard De Russe, Parc Barahona, Parc Torrecillas, Praderas De Morovis Sur, Qtas De Morovis, Repto Los Torres, Sect Berio, Sect La Alianza, Sect Marrero, Sect Pabon, Urb Cruz Rosario, Urb Las Cumbres, Urb Rose Valley, Urb Russe, Valle Barahona, Valles De San Luis, Villa Roca, Villas Del Norte, Vista Verde","30,962","11,673","$22,147",0,18.319,-66.420998,38.871,0.054
